SampleNo.,GradingCluster,Grading.%PassingBSSieveSize(mm).20,Grading.%PassingBSSieveSize(mm).10,Grading.%PassingBSSieveSize(mm).5,Grading.%PassingBSSieveSize(mm).2,Grading.%PassingBSSieveSize(mm).0.425,Grading.%PassingBSSieveSize(mm).0.075
1,2,100,77,57,44,29,24
2,2,100,78,60,49,20,11
3,1,100,100,99,92,80,76
4,0,100,89,76,62,47,32
5,0,100,84,67,52,35,30
6,0,100,93,79,63,47,39
7,1,100,97,91,81,62,49
8,1,100,95,89,82,71,55
9,2,100,77,63,52,31,26
10,2,100,77,57,44,29,24
11,2,100,78,60,49,20,11
12,2,100,75,61,45,27,19
13,2,100,75,61,45,27,19
14,2,100,75,61,45,27,19
15,2,100,75,61,45,27,19
16,2,100,75,61,45,27,19
17,0,100,80,70,63,40,27
18,2,100,76,57,46,32,27
19,0,100,90,68,50,34,30
20,0,100,88,65,50,39,31
21,1,100,96,88,81,66,49
22,0,100,89,66,51,40,32
23,0,100,89,78,67,49,31
24,0,100,93,73,57,39,30
25,0,100,87,62,41,31,23
26,2,100,82,63,48,33,25
27,0,100,85,60,49,35,24
28,0,100,90,66,44,21,14
29,2,100,75,50,38,27,19
30,2,100,75,50,38,27,19
31,2,100,82,56,45,36,28
32,0,100,81,63,53,42,30
33,0,100,95,79,68,57,43
34,0,100,86,73,60,39,30
35,0,100,86,73,61,41,32
36,1,100,97,85,77,69,65
37,0,100,88,75,61,45,40
38,0,100,90,67,48,28,25
39,3,100,98,93,74,50,44
40,1,100,100,99,90,75,65
41,2,100,83,59,43,33,27
42,0,100,80,70,63,40,27
43,0,100,89,66,51,40,32
44,0,100,88,65,50,39,31
45,1,100,96,88,81,66,49
46,0,100,89,78,67,49,31
47,2,100,61,21,10,7,6
48,1,100,99,98,97,94,87
49,1,100,99,90,87,79,68
50,0,100,91,79,71,57,47
51,1,100,93,85,76,63,51
52,1,100,96,89,81,73,64
53,0,100,86,70,51,20,17
54,1,100,100,98,91,84,78
55,1,100,100,100,86,60,48
56,0,100,86,73,59,33,24
57,1,100,89,82,76,58,49
58,1,100,94,88,84,69,50
59,0,100,86,75,55,33,22
60,2,100,76,46,33,15,6
61,2,100,76,61,50,33,14
62,0,100,85,60,49,35,24
63,0,100,85,60,49,35,24
64,0,100,85,60,49,35,24
65,0,100,85,60,49,35,24
66,0,100,85,60,49,35,24
67,0,100,88,73,57,39,31
68,2,100,80,57,51,42,31
69,0,100,93,73,61,48,39
70,2,100,90,59,34,23,18
71,0,100,97,84,65,35,24
72,0,100,88,65,51,40,38
73,1,100,100,100,96,80,66
74,1,100,100,98,91,84,78
75,0,100,90,73,64,56,51
76,0,100,87,67,49,28,19
77,1,100,100,99,91,79,63
78,0,100,85,73,62,44,34
79,3,100,95,88,78,48,15
80,1,100,100,99,98,70,51
81,0,100,99,91,55,14,7
82,3,100,99,96,93,46,28
83,1,100,100,100,100,78,55
84,1,100,100,100,100,77,52
85,3,100,100,99,95,60,31
86,3,100,100,100,99,58,29
87,3,100,100,100,95,42,17
88,1,100,99,99,98,76,48
89,3,100,100,99,95,57,27
